"","Date","Year","Month","Brand","Vehicle_Type_Group","Vehicle_Type","Model_Year","Fuel_Type","Gear","CCM","Horse_Power","Color","Body_Type","Seller","Seller_Status","Kilometers","Price"
"8077",2020-05-03,2020,"5","Fiat","Palio","1.3 Multijet Active",2007,"Diesel","Manual","1300 cc and below","100 HP and below","White","Hatchback 5 Doors","Owner","2nd Hand",182000,41000
"8078",2020-04-07,2020,"4","Ford","Fiesta","1.4 Comfort",2005,"Diesel","Manual","1301-1600 cc","100 HP and below","Dark Blue","Hatchback 5 Doors","Owner","2nd Hand",220000,41000
"8079",2020-06-16,2020,"6","Hyundai","Accent Era","1.5 CRDi
",2010,"Diesel","Manual","1301-1600 cc","101-125 HP","Gray","Sedan","Galery","2nd Hand",400000,41000
"8080",2020-04-18,2020,"4","Kia","Cerato","Other",2006,"Diesel","Manual","1300 cc and below","Don't Know","White","Sedan","Galery","2nd Hand",320,41000
"8081",2020-05-31,2020,"5","Mitsubishi","L 200","4x2 Magnum",2000,"Diesel","Manual","6001 cc and above","451-475 HP","White","Off-road Vehicle","Galery","2nd Hand",194520,41000
"8082",2020-04-28,2020,"4","Opel","Vectra","1.8 Elegance",2001,"Gasoline","Manual","1601-1800 cc","101-125 HP","Gray","Sedan","Owner","2nd Hand",247000,41000
"8083",2020-04-17,2020,"4","Opel","Corsa","1.4 Comfort",2002,"Gasoline","Manual","1301-1600 cc","Don't Know","Silver Gray","Hatchback 5 Doors","Galery","2nd Hand",181000,41000
"8084",2020-04-22,2020,"4","Opel","Corsa","1.3 CDTI",2005,"Diesel","Manual","1300 cc and below","100 HP and below","Honey","Hatchback 5 Doors","Owner","2nd Hand",216,41000
"8085",2020-04-17,2020,"4","Peugeot","307","Other",2006,"Diesel","Manual","1301-1600 cc","Don't Know","Blue","Hatchback 5 Doors","Galery","2nd Hand",266000,41000
"8086",2020-03-23,2020,"3","Peugeot","407","2.0 HDI Executive",2006,"Diesel","Manual","1301-1600 cc","126-150 HP","Black","Sedan","Owner","2nd Hand",321,41000
"8087",2020-04-17,2020,"4","Peugeot","206","1.4 X-Design",2006,"Gasoline","Manual","1300 cc and below","100 HP and below","Red","Hatchback 5 Doors","Galery","2nd Hand",156023,41000
"8088",2020-03-24,2020,"3","Peugeot","207","1.4 Comfort",2008,"Gasoline","Manual","1301-1600 cc","100 HP and below","Black","Hatchback 3 Doors","Owner","2nd Hand",165000,41000
"8089",2020-05-10,2020,"5","Renault","Scenic","1.6 Dynamique",2001,"Gasoline","Automatic","1601-1800 cc","101-125 HP","Dark Blue","Minivan","Galery","2nd Hand",11,41000
"8090",2020-05-05,2020,"5","Renault","Clio","Other",2005,"Diesel","Manual","1301-1600 cc","Don't Know","Gray","Sedan","Galery","2nd Hand",206000,40750
"8091",2020-04-18,2020,"4","Fiat","Albea","1.2 EL",2004,"Gasoline","Manual","1300 cc and below","Don't Know","Blue","Sedan","Galery","2nd Hand",109100,40500
"8092",2020-04-18,2020,"4","Fiat","Linea","1.3 Multijet Active",2008,"Diesel","Manual","1300 cc and below","Don't Know","Blue","Sedan","Galery","2nd Hand",242000,40500
"8093",2020-04-18,2020,"4","Ford","Fusion","Other",2006,"Diesel","Manual","1300 cc and below","Don't Know","Blue","Hatchback 5 Doors","Galery","2nd Hand",245000,40500
"8094",2020-06-13,2020,"6","Kia","Sportage","2.0 LX",1996,"Gasoline","Manual","1801-2000 cc","126-150 HP","Turquoise","Off-road Vehicle","Owner","2nd Hand",294000,40500
"8095",2020-06-12,2020,"6","Renault","19","1.6 Europa Alize",2000,"Electricity","Manual","1301-1600 cc","100 HP and below","Silver","Sedan","Galery","2nd Hand",200000,40500
"8096",2020-05-23,2020,"5","Seat","Toledo","1.6 16V Signo Plus",2001,"Gasoline","Manual","1301-1600 cc","100 HP and below","Silver Gray","Sedan","Galery","2nd Hand",250000,40500
"8097",2020-04-14,2020,"4","Citroen","C2","1.4 HDI",2006,"Diesel","Manual","1301-1600 cc","100 HP and below","Red","Hatchback 3 Doors","Owner","2nd Hand",207000,40000
"8098",2020-04-13,2020,"4","Fiat","Albea","Sole 1.3 Multijet Dynamic",2007,"Diesel","Manual","1300 cc and below","100 HP and below","Gray","Sedan","Galery","2nd Hand",230000,40000
"8099",2020-05-21,2020,"5","Fiat","Linea","1.3 M.jet Active",2008,"Diesel","Manual","1301-1600 cc","100 HP and below","Gray","Sedan","Galery","2nd Hand",286000,40000
"8100",2020-04-18,2020,"4","Ford","Focus","1.6 Ghia",2001,"Gasoline","Automatic","1301-1600 cc","Don't Know","Yellow","Sedan","Galery","2nd Hand",250000,40000
